                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6146,                 4.4313,                 4.1531,                0.00217,                0.36341,                0.01139,                0.00453,                 3.5437,                 3.8517,                 4.0388,               0.070536,              0.0032738,              0.0032738
                      2,                 3.4883,                 4.1017,                 3.8716,                0.00077,                 0.3125,                0.00354,                0.00135,                 3.5275,                 3.6776,                  3.882,               0.040518,              0.0065895,              0.0065895
                      3,                 3.1497,                 3.7986,                  3.479,                0.00359,                0.41597,                 0.0257,                0.00619,                 2.9254,                 4.0849,                 3.3842,               0.010483,              0.0098875,              0.0098875
                      4,                  2.814,                 3.4842,                 3.1279,                0.01091,                0.15351,                0.00779,                 0.0019,                 3.3385,                 11.614,                 3.9724,                0.00992,                0.00992,                0.00992
                      5,                 2.5842,                 3.1768,                 2.8953,                0.00598,                0.02941,                0.02635,                 0.0058,                 3.0828,                 56.449,                 3.2237,              0.0098933,              0.0098933,              0.0098933
                      6,                  2.416,                 2.9148,                  2.716,                0.70429,                0.01961,                0.00876,                0.00274,                 3.5797,                 7.8278,                 4.3683,              0.0098667,              0.0098667,              0.0098667
                      7,                 2.2639,                 2.7176,                  2.548,                0.00024,                 0.0098,                0.00017,                  6e-05,                 3.7844,                 11.728,                  4.772,                0.00984,                0.00984,                0.00984
                      8,                 2.1475,                 2.5381,                 2.4439,                0.54454,                0.27886,                0.24389,                 0.0692,                  2.507,                 3.0591,                 2.8994,              0.0098133,              0.0098133,              0.0098133
                      9,                  2.029,                 2.4244,                 2.3383,                0.73295,                0.13458,                0.11688,                0.05835,                 2.8667,                 4.5451,                 3.2812,              0.0097867,              0.0097867,              0.0097867
                     10,                 1.9602,                 2.2786,                 2.2526,                0.41622,                0.29297,                0.09297,                0.03048,                 2.5136,                 5.3828,                 3.0187,                0.00976,                0.00976,                0.00976
                     11,                 1.8782,                 2.2303,                 2.1776,                0.00645,                0.29832,                 0.0327,                0.00974,                 3.2594,                 5.0357,                 3.5011,              0.0097333,              0.0097333,              0.0097333
                     12,                 1.8491,                 2.1653,                 2.1646,                0.94334,                0.02941,                0.05492,                0.01372,                 3.0406,                  4.451,                 3.5785,              0.0097067,              0.0097067,              0.0097067
                     13,                 1.8222,                  2.096,                 2.1101,                0.71448,                 0.1341,                0.16036,                0.05627,                 2.3111,                 3.6243,                 2.6904,                0.00968,                0.00968,                0.00968
                     14,                 1.7837,                 2.0349,                 2.0883,                0.56746,                0.35722,                0.47665,                0.18977,                 2.0044,                 2.2879,                 2.4371,              0.0096533,              0.0096533,              0.0096533
                     15,                 1.7627,                 2.0206,                 2.0681,                 0.7621,                0.03922,                0.08432,                0.02402,                 2.6358,                  3.739,                 2.9368,              0.0096267,              0.0096267,              0.0096267
                     16,                 1.7136,                  1.959,                 2.0369,                0.43733,                0.34597,                0.24863,                0.08632,                 2.2182,                 3.2805,                 2.5456,                 0.0096,                 0.0096,                 0.0096
                     17,                 1.7087,                 1.9438,                 2.0112,                0.67833,                0.18042,                0.20279,                0.07564,                  2.804,                 3.9348,                 3.2939,              0.0095733,              0.0095733,              0.0095733
