                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.2797,                 4.3453,                 4.1447,                0.00108,                0.17151,                0.00151,                0.00043,                 4.4319,                 3.7121,                 4.0698,               0.070288,              0.0033013,              0.0033013
                      2,                 3.8478,                 3.4023,                 3.5533,                0.36134,                0.11355,                0.00676,                 0.0019,                 3.9166,                 10.154,                 3.5362,               0.040271,              0.0066169,              0.0066169
                      3,                 3.0043,                 2.6378,                 2.7536,                0.67434,                0.07774,                0.00555,                0.00158,                 3.6249,                 8.3246,                 3.3289,               0.010235,              0.0099148,              0.0099148
                      4,                 2.5164,                 2.2894,                 2.3325,                0.34623,                0.14626,                0.00535,                0.00168,                 3.5221,                 37.592,                 3.1807,                0.00992,                0.00992,                0.00992
                      5,                 2.2511,                 2.0328,                 2.1251,                0.19393,                0.21946,                0.18577,                0.07232,                 2.8367,                 4.3659,                 2.5796,              0.0098933,              0.0098933,              0.0098933
                      6,                 2.0653,                 1.8079,                 2.0014,                0.74945,                0.09423,                0.06685,                0.02067,                 2.8763,                 4.2597,                 2.6816,              0.0098667,              0.0098667,              0.0098667
                      7,                 1.9407,                 1.6779,                 1.9045,                0.35837,                0.28639,                0.28741,                0.12127,                 2.3508,                 3.4768,                 2.2071,                0.00984,                0.00984,                0.00984
                      8,                 1.8569,                 1.5958,                 1.8184,                0.49798,                0.40925,                0.42821,                0.17063,                 2.1396,                 1.9687,                 2.0471,              0.0098133,              0.0098133,              0.0098133
                      9,                 1.7922,                 1.5214,                   1.77,                 0.5375,                0.26529,                0.22692,                0.10504,                 2.4532,                 3.7146,                 2.2905,              0.0097867,              0.0097867,              0.0097867
                     10,                 1.7446,                 1.4762,                 1.7276,                0.17346,                0.24501,                0.17012,                0.06838,                 2.7623,                 3.0037,                 2.5363,                0.00976,                0.00976,                0.00976
                     11,                 1.7099,                 1.4434,                 1.6825,                0.57726,                0.55244,                0.54808,                0.24246,                 1.9737,                 1.6853,                 1.8703,              0.0097333,              0.0097333,              0.0097333
                     12,                 1.6818,                 1.4009,                  1.651,                0.40546,                0.20737,                0.18857,                0.08198,                 2.6769,                 3.4652,                 2.4905,              0.0097067,              0.0097067,              0.0097067
                     13,                   1.66,                 1.3804,                 1.6301,                0.47985,                0.30679,                0.32218,                0.16049,                 2.4509,                 2.9504,                 2.2238,                0.00968,                0.00968,                0.00968
                     14,                 1.6321,                 1.3362,                 1.6121,                0.65131,                0.34012,                0.31982,                0.14617,                 2.2958,                 2.6674,                  2.113,              0.0096533,              0.0096533,              0.0096533
                     15,                  1.623,                 1.3334,                 1.5965,                0.25632,                0.22013,                0.20815,                0.09601,                 2.5367,                 3.4627,                 2.5107,              0.0096267,              0.0096267,              0.0096267
                     16,                 1.6019,                 1.3162,                 1.5841,                0.33673,                 0.2889,                0.12047,                 0.0506,                 2.6992,                 3.7921,                 2.3582,                 0.0096,                 0.0096,                 0.0096
                     17,                 1.5709,                 1.2766,                 1.5494,                0.68786,                0.36393,                0.38933,                 0.2059,                 2.2241,                 2.5321,                 2.0339,              0.0095733,              0.0095733,              0.0095733
